"country","hhid","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"SEN",15003,3,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,,0,0,0,0,0,0,1,0,0,0,0
"SEN",15004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",15005,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",15006,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",15007,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",15008,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",15009,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",15010,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",15011,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",15012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",16001,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",16002,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",16003,3,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",16004,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",16005,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",16006,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",16007,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",16008,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
