"vague","grappe","menage","s07aq00","s07aq01b","s07aq02b","s07aq03b","s07aq04b","s07aq05b","s07aq06b","s07aq07b","s07aq08b","s07aq09b","s07aq10b","s07aq11b","s07aq12b","s07aq13b","s07aq14b","s07aq15b","s07aq16b","s07aq17b","s07aq18b","s07aq19b","s07aq20b","s07aq21b"
2,490,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,480,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,112,3,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,298,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,105,2,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,102,1,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,111,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,321,7,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,304,1,1,1,3900,,4,,,4,,,1,3700,,4,,,1,2800,,4,,
1,413,5,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,335,4,13,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,314,1,4,4,,,4,,,4,,,4,,,4,,,1,250,,4,,
1,239,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,508,6,5,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,275,5,8,4,,,2,,1500,4,,,4,,,4,,,4,,,4,,
2,542,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,192,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,398,2,1,4,,,2,,500,4,,,4,,,4,,,4,,,4,,
1,61,11,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,479,4,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,574,2,9,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,42,1,1,4,,,1,4200,,1,7000,,4,,,4,,,4,,,4,,
1,366,2,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,281,1,2,4,,,2,,3000,4,,,4,,,4,,,4,,,4,,
2,10,1,7,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,236,1,1,4,,,4,,,4,,,1,600,,1,800,,4,,,4,,
2,282,1,12,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,137,3,8,4,,,2,,7000,4,,,4,,,4,,,4,,,4,,
1,127,12,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,366,9,2,1,1750,,4,,,4,,,4,,,4,,,4,,,4,,
1,505,7,1,1,1500,,4,,,4,,,4,,,1,1300,,4,,,4,,
1,283,3,1,1,1750,,4,,,4,,,4,,,4,,,4,,,4,,
2,142,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,196,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,177,7,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,482,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,477,7,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,341,8,1,1,2100,,4,,,4,,,4,,,1,350,,4,,,4,,
1,271,6,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,127,6,1,1,1400,,4,,,1,1000,,4,,,4,,,4,,,4,,
2,433,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,273,9,10,4,,,4,,,4,,,4,,,1,1500,,1,600,,4,,
2,399,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,434,9,1,4,,,4,,,4,,,1,500,,1,600,,2,,500,4,,
2,292,3,2,4,,,4,,,4,,,4,,,4,,,1,2000,,4,,
1,423,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,199,10,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,463,2,1,2,,3500,2,,1750,2,,3500,2,,1000,2,,2000,2,,700,4,,
1,249,11,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,123,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,157,6,1,4,,,2,,3500,4,,,1,1000,,4,,,4,,,4,,
1,85,12,4,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,272,1,1,4,,,4,,,4,,,4,,,4,,,1,1200,,4,,
1,400,4,1,4,,,4,,,4,,,4,,,4,,,1,200,,4,,
2,308,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,496,1,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,557,11,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,435,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,351,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,161,4,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,46,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,576,3,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,111,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,190,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,117,1,5,1,3000,,4,,,4,,,4,,,4,,,4,,,4,,
2,26,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,415,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,237,12,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,534,1,1,1,3500,,3,4000,500,1,2100,,4,,,1,700,,1,450,,4,,
1,459,4,6,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,250,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,597,12,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,168,1,1,1,1400,,4,,,4,,,4,,,4,,,4,,,4,,
2,146,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,429,6,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,200,3,1,4,,,4,,,1,2100,,1,500,,1,400,,2,,1600,4,,
2,304,2,1,4,,,4,,,4,,,4,,,4,,,1,1500,,4,,
1,461,3,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,88,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,407,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,276,2,8,1,6500,,4,,,4,,,1,1000,,4,,,4,,,4,,
2,452,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,28,1,1,2,,1500,1,6000,,4,,,4,,,4,,,4,,,4,,
2,4,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,342,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,339,9,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,154,7,2,4,,,2,,800,1,625,,4,,,4,,,4,,,4,,
2,181,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,111,3,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,578,6,2,1,4200,,4,,,4,,,4,,,1,1600,,4,,,4,,
1,489,2,1,4,,,4,,,4,,,1,1200,,4,,,4,,,4,,
2,296,1,1,1,3500,,4,,,4,,,1,1550,,4,,,4,,,4,,
2,588,1,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,94,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,365,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,411,6,1,4,,,4,,,4,,,1,400,,4,,,4,,,4,,
2,201,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,109,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,206,9,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,179,2,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,103,10,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,133,4,1,2,,22000,2,,27000,2,,23500,4,,,2,,16500,2,,31000,4,,
2,88,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,173,10,1,2,,2100,2,,14000,2,,3500,4,,,1,1750,,1,900,,4,,
1,199,5,1,4,,,1,3500,,1,2800,,1,100,,2,,500,1,1400,,4,,
2,170,1,13,4,,,4,,,1,1400,,4,,,4,,,4,,,4,,
1,567,3,6,1,13650,,4,,,4,,,4,,,4,,,4,,,4,,
2,388,1,13,1,6300,,4,,,1,10250,,4,,,4,,,4,,,4,,
1,118,7,5,4,,,4,,,4,,,4,,,4,,,1,1800,,4,,
1,17,9,1,4,,,4,,,4,,,4,,,4,,,1,2000,,4,,
1,175,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,33,3,2,2,,1500,2,,1750,2,,1000,4,,,4,,,4,,,4,,
2,437,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,129,11,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,393,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,116,12,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,400,8,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
