"hh_id","Sea Production","Afric Azote","Africa Feed","Omega Fishing","Min_tt_factories","Min_Factory_name","mean_tt_factories","mean_Min_tt_factories"
"2_62_1",199.137084989848,28.142135623731,23.8994949366117,92.3969696196699,23.8994949366117,"Africa Feed",85.8939212924652,85.8939212924652
"2_306_1",216.681240867132,80.5330085889911,35.3847763108502,39.2132034355964,35.3847763108502,"Africa Feed",92.9530573006424,92.9530573006424
"2_207_1",7.24264068711929,226.03657992646,197.651803615609,244.468037431536,7.24264068711929,"Sea Production",168.849765415181,168.849765415181
"1_518_5",329.617315730204,322.806132548161,277.835569799683,239.237590053236,239.237590053236,"Omega Fishing",292.374152032821,292.374152032821
"1_242_7",505.198051533948,548.587878478681,505.516810666816,473.546247918338,473.546247918338,"Omega Fishing",508.212247149446,508.212247149446
"1_152_12",157.610173055266,176.982756057297,136.740115370178,140.066017177982,136.740115370178,"Africa Feed",152.849765415181,152.849765415181
"1_83_1",205.601551083915,25.4705627484771,33.2279220613579,101.725396744416,25.4705627484771,"Afric Azote",91.5063581595415,91.5063581595415
"1_19_7",221.122366364086,10.3639610306789,47.5771644662753,115.831998462214,10.3639610306789,"Afric Azote",98.7238725808135,98.7238725808135
"1_483_7",455.102597104443,555.830519165801,515.002092041054,496.102597104443,455.102597104443,"Sea Production",505.509451353935,505.509451353935
"1_321_7",166.710678118655,75.1126983722081,35.2132034355964,85.0416305603426,35.2132034355964,"Africa Feed",90.5195526217005,90.5195526217005
"2_417_2",202.811183182043,166.124891681028,121.154328932551,95.811183182043,95.811183182043,"Omega Fishing",146.475396744416,146.475396744416
"2_490_1",240.107647738325,340.350288425445,302.350288425445,302.605122421384,240.107647738325,"Sea Production",296.35333675265,296.35333675265
"2_298_1",217.78174593052,87.4325035256027,42.2842712474619,33.142135623731,33.142135623731,"Omega Fishing",95.1601640818289,95.1601640818289
"2_280_1",334.607647738325,282.448268171891,236.507142674937,197.708152801713,197.708152801713,"Omega Fishing",262.817802846717,262.817802846717
"1_408_5",328.965512114594,266.119841047145,220.178715550191,181.379725676967,181.379725676967,"Omega Fishing",249.160948597224,249.160948597224
"2_105_2",497.031529292577,438.428498912247,392.487373415293,346.722871427475,346.722871427475,"Omega Fishing",418.667568261898,418.667568261898
"2_140_1",178.426406871193,144.325901807804,102.426406871193,92.8822509939085,92.8822509939085,"Omega Fishing",129.515241636025,129.515241636025
"2_304_1",209.267027304759,75.7045814642449,28.7989898732233,45.7989898732233,28.7989898732233,"Africa Feed",89.8923971288626,89.8923971288626
"1_499_10",310.078210486802,266.119841047145,220.178715550191,181.379725676967,181.379725676967,"Omega Fishing",244.439123190276,244.439123190276
"2_102_1",569.043722601397,510.440692221068,464.499566724113,418.735064736294,418.735064736294,"Omega Fishing",490.679761570718,490.679761570718
"2_192_1",308.066017177983,453.244732728174,416.658946290547,427.984848098352,308.066017177983,"Sea Production",401.488636073764,401.488636073764
"1_239_2",449.47012947259,459.44574285495,414.475180106473,375.877200360026,375.877200360026,"Omega Fishing",424.81706319851,424.81706319851
"1_137_3",177.254833995939,145.497474683058,103.597979746447,95.7106781186547,95.7106781186547,"Omega Fishing",130.515241636025,130.515241636025
"1_333_4",146.982756057297,85.4264068711928,51.1837661840735,102.041630560343,51.1837661840735,"Africa Feed",96.4086399182266,96.4086399182266
"1_545_7",658.406204335662,NA,616.281312654634,577.683332908187,NA,"Omega Fishing",NA,NA
"2_573_1",429.492424049176,370.889393668846,324.948268171892,286.149278298668,286.149278298668,"Omega Fishing",352.869841047145,352.869841047145
"1_413_5",305.681240867132,242.835569799683,196.894444302729,158.095454429505,158.095454429505,"Omega Fishing",225.876677349762,225.876677349762
"2_314_1",205.296464556282,85.5330085889911,38.0416305603426,43.7279220613579,38.0416305603426,"Africa Feed",93.1497564417434,93.1497564417434
"1_411_4",295.823376490863,229.79393923934,183.852813742386,143.39696961967,143.39696961967,"Omega Fishing",213.216774773065,213.216774773065
"2_111_1",494.617315730204,436.014285349874,390.07315985292,344.308657865101,344.308657865101,"Omega Fishing",416.253354699525,416.253354699525
"2_132_1",186.183766184074,109.497474683058,64.5269119345812,59.1837661840736,59.1837661840736,"Omega Fishing",104.847979746447,104.847979746447
"1_479_5",436.203102167831,536.931024229189,498.203102167831,489.771644662755,436.203102167831,"Sea Production",490.277218306901,490.277218306901
"2_282_1",313.764501987817,264.534054609518,218.592929112564,179.79393923934,179.79393923934,"Omega Fishing",244.17135623731,244.17135623731
"2_405_1",277.267027304759,214.42135623731,168.480230740355,129.681240867132,129.681240867132,"Omega Fishing",197.462463787389,197.462463787389
"1_335_4",117.597979746447,114.124891681028,80.811183182043,126.698484809835,80.811183182043,"Africa Feed",109.808134854838,109.808134854838
"1_402_3",295.40916292849,228.79393923934,182.852813742386,142.39696961967,142.39696961967,"Omega Fishing",212.363221382471,212.363221382471
"2_480_1",420.075685169861,520.803607231219,482.075685169861,473.644227664786,420.075685169861,"Sea Production",474.149801308932,474.149801308932
"2_542_1",659.406204335662,NA,617.281312654634,578.683332908187,NA,"Omega Fishing",NA,NA
"1_479_4",436.203102167831,536.931024229189,498.203102167831,489.771644662755,436.203102167831,"Sea Production",490.277218306901,490.277218306901
"2_292_3",248.053823869163,185.79393923934,139.852813742386,101.053823869162,101.053823869162,"Omega Fishing",168.688600180013,168.688600180013
"1_366_2",57.7695526217004,186.521861300698,155.79393923934,201.681240867132,57.7695526217004,"Sea Production",150.441648507218,150.441648507218
"1_127_6",168.284271247462,119.840620433566,77.9411254969542,79.5685424949237,77.9411254969542,"Africa Feed",111.408639918226,111.408639918226
"2_196_1",249.950793488833,415.999566724113,381.756926036994,409.484848098352,249.950793488833,"Sea Production",364.298033587073,364.298033587073
"2_482_1",380.705627484772,505.315800540039,466.788888605458,458.357431100382,380.705627484772,"Sea Production",452.791936932663,452.791936932663
"1_508_6",260.480230740355,214.865007051206,169.894444302728,131.539105243401,131.539105243401,"Omega Fishing",194.194696834423,194.194696834423
"1_366_9",57.7695526217004,186.521861300698,155.79393923934,201.681240867132,57.7695526217004,"Sea Production",150.441648507218,150.441648507218
"1_477_7",413.404112294607,514.132034355965,475.404112294607,466.972654789532,413.404112294607,"Sea Production",467.478228433678,467.478228433678
"2_10_1",218.536579926459,6.91421356237309,44.9913780286484,113.246212024587,6.91421356237309,"Afric Azote",95.9220958855169,95.9220958855169
"2_433_1",492.771644662755,454.570634535978,408.629509039024,369.8305191658,369.8305191658,"Omega Fishing",431.450576850889,431.450576850889
"1_400_4",215.254833995939,118.40306627408,70.9116882454314,35.6274169979695,35.6274169979695,"Omega Fishing",110.049251378355,110.049251378355
"1_275_5",281.40916292849,229.249783362056,183.308657865102,144.509667991878,144.509667991878,"Omega Fishing",209.619318036882,209.619318036882
"1_341_8",167.681240867132,60.2842712474619,28.9705627484771,93.5269119345812,28.9705627484771,"Africa Feed",87.6157466994131,87.6157466994131
"2_123_1",499.031529292577,440.428498912247,394.487373415293,348.722871427475,348.722871427475,"Omega Fishing",420.667568261898,420.667568261898
"2_42_1",199.480230740355,26.9350288425444,28.7279220613579,97.2253967444161,26.9350288425444,"Afric Azote",88.0921445971684,88.0921445971684
"1_161_4",162.024386617639,177.982756057297,136.911688245431,138.237590053236,136.911688245431,"Africa Feed",153.789105243401,153.789105243401
"1_283_3",289.367532368147,226.521861300698,180.580735803744,141.78174593052,141.78174593052,"Omega Fishing",209.562968850777,209.562968850777
"2_236_1",422.671139599367,417.859956417323,372.889393668846,334.291413922399,334.291413922399,"Omega Fishing",386.927975901984,386.927975901984
"2_142_2",180.426406871193,143.154328932551,101.254833995939,89.4680374315354,89.4680374315354,"Omega Fishing",128.575901807805,128.575901807805
"1_434_9",483.499566724113,452.529003975636,407.558441227158,368.960461480712,368.960461480712,"Omega Fishing",428.136868351905,428.136868351905
"1_127_12",168.284271247462,119.840620433566,77.9411254969542,79.5685424949237,77.9411254969542,"Africa Feed",111.408639918226,111.408639918226
"1_273_9",276.78174593052,213.936074863071,167.994949366117,129.195959492893,129.195959492893,"Omega Fishing",196.97718241315,196.97718241315
"1_271_6",273.124891681028,210.279220613579,164.338095116624,125.539105243401,125.539105243401,"Omega Fishing",193.320328163658,193.320328163658
"2_399_1",232.855339059327,151.181240867132,104.654328932551,65.0269119345811,65.0269119345811,"Omega Fishing",138.429455198398,138.429455198398
"1_505_7",287.42135623731,251.078210486802,206.107647738325,167.509667991878,167.509667991878,"Omega Fishing",228.029220613579,228.029220613579
"1_61_11",201.551298552221,27.142135623731,25.142135623731,93.3969696196699,25.142135623731,"Africa Feed",86.8081348548382,86.8081348548382
"1_398_2",200.941125496954,127.468037431535,82.4974746830583,53.5979797464466,53.5979797464466,"Omega Fishing",116.126154339498,116.126154339498
"1_177_7",112.367532368147,313.646752981727,282.918830920369,328.220346110534,112.367532368147,"Sea Production",259.288365595194,259.288365595194
"2_351_1",80.3847763108502,156.651803615609,123.580735803743,168.882250993909,80.3847763108502,"Sea Production",132.374891681028,132.374891681028
"2_304_2",209.267027304759,75.7045814642449,28.7989898732233,45.7989898732233,28.7989898732233,"Africa Feed",89.8923971288626,89.8923971288626
"1_249_11",315.274169979696,345.350288425445,300.521861300698,268.551298552221,268.551298552221,"Omega Fishing",307.424404564515,307.424404564515
"1_557_11",616.808224589215,598.766594028873,553.796031280395,515.198051533948,515.198051533948,"Omega Fishing",571.142225358108,571.142225358108
"1_597_12",488.81832585698,430.215295476651,384.274169979696,345.475180106473,345.475180106473,"Omega Fishing",412.19574285495,412.19574285495
"2_496_1",271.693434175952,235.936074863071,190.965512114594,152.367532368147,152.367532368147,"Omega Fishing",212.740638380441,212.740638380441
"2_26_1",217.586832458154,11.0355339059327,44.0416305603426,112.296464556282,11.0355339059327,"Afric Azote",96.2401153701778,96.2401153701778
"1_237_12",491.925973595306,494.771644662755,449.801081914278,411.203102167831,411.203102167831,"Omega Fishing",461.925450585042,461.925450585042
"1_576_3",467.291413922399,408.68838354207,362.747258045115,323.948268171892,323.948268171892,"Omega Fishing",390.668830920369,390.668830920369
"1_423_1",474.489898732234,415.886868351905,369.94574285495,331.146752981727,331.146752981727,"Omega Fishing",397.867315730204,397.867315730204
"2_146_1",199.51219330882,162.240115370178,120.340620433566,106.553823869162,106.553823869162,"Omega Fishing",147.161688245431,147.161688245431
"2_435_1",477.641702347844,447.499566724113,402.529003975636,363.931024229189,363.931024229189,"Omega Fishing",422.900324319195,422.900324319195
"2_534_1",660.820417898035,NA,618.695526217007,580.09754647056,NA,"Omega Fishing",NA,NA
"2_168_1",184.28174593052,193.654328932551,152.583261120685,151.080735803744,151.080735803744,"Omega Fishing",170.400017946875,170.400017946875
"1_118_7",497.617315730204,439.014285349874,393.07315985292,347.308657865101,347.308657865101,"Omega Fishing",419.253354699525,419.253354699525
"2_4_1",224.450793488833,4.41421356237309,50.9055915910215,119.16042558696,4.41421356237309,"Afric Azote",99.7327560572969,99.7327560572969
"2_276_2",276.681240867132,217.592929112563,171.651803615609,132.852813742386,132.852813742386,"Omega Fishing",199.694696834423,199.694696834423
"1_199_10",198.622366364086,376.286363288516,342.972654789531,373.629509039024,198.622366364086,"Sea Production",322.877723370289,322.877723370289
"1_459_4",360.149278298668,484.759451353935,447.889393668846,439.45793616377,360.149278298668,"Sea Production",433.064014871305,433.064014871305
"1_489_2",247.462986797653,315.480230740356,274.40916292849,265.977705423414,247.462986797653,"Sea Production",275.832521472478,275.832521472478
"2_308_1",215.068542494924,110.825901807804,64.198484809835,65.6421356237309,64.198484809835,"Africa Feed",113.933766184073,113.933766184073
"2_190_1",210.367532368147,359.102597104442,322.516810666815,338.185858225128,210.367532368147,"Sea Production",307.543199591133,307.543199591133
"2_117_1",496.617315730204,438.014285349874,392.07315985292,346.308657865101,346.308657865101,"Omega Fishing",418.253354699525,418.253354699525
"2_46_1",197.722871427475,28.142135623731,23.8994949366117,92.3969696196699,23.8994949366117,"Africa Feed",85.5403679018719,85.5403679018719
"1_429_6",469.943217538009,438.972654789532,394.002092041054,355.404112294607,355.404112294607,"Omega Fishing",414.580519165801,414.580519165801
"1_200_3",14.4852813742386,233.279220613579,204.894444302729,251.710678118655,14.4852813742386,"Sea Production",176.0924061023,176.0924061023
"2_111_2",494.617315730204,436.014285349874,390.07315985292,344.308657865101,344.308657865101,"Omega Fishing",416.253354699525,416.253354699525
"2_111_3",494.617315730204,436.014285349874,390.07315985292,344.308657865101,344.308657865101,"Omega Fishing",416.253354699525,416.253354699525
"2_250_1",279.646752981726,323.279220613579,281.379725676967,255.894444302729,255.894444302729,"Omega Fishing",285.05003589375,285.05003589375
"1_157_6",164.267027304759,180.568542494924,139.497474683058,139.651803615609,139.497474683058,"Africa Feed",155.996212024587,155.996212024587
"2_272_1",272.968037431536,210.122366364086,164.181240867132,125.382250993908,125.382250993908,"Omega Fishing",193.163473914166,193.163473914166
"1_415_1",338.885822331377,276.040151263928,230.099025766974,191.045201897811,191.045201897811,"Omega Fishing",259.017550315023,259.017550315023
"2_407_1",328.965512114594,266.119841047145,220.178715550191,181.379725676967,181.379725676967,"Omega Fishing",249.160948597224,249.160948597224
"1_154_7",170.195959492893,174.740115370178,133.669047558312,130.752308678997,130.752308678997,"Omega Fishing",152.339357775095,152.339357775095
"1_461_3",381.649278298668,495.632034355965,456.904112294607,448.472654789532,381.649278298668,"Sea Production",445.664519934693,445.664519934693
"2_88_2",501.632034355965,403.371103705616,358.222871427475,285.968037431536,285.968037431536,"Omega Fishing",387.298511730148,387.298511730148
"1_339_9",122.370057685089,166.352813742386,129.767027304759,166.28174593052,122.370057685089,"Sea Production",146.192911165688,146.192911165688
